t,Q,
0,3.204361439,0
600,3.212219849,0.006
2110,3.237001331,0.0211
3910,3.252837535,0.0391
5710,3.249439725,0.0571
7510,3.267588753,0.0751
9310,3.31440382,0.0931
11110,3.363980705,0.1111
12910,3.423419122,0.1291
14710,3.48711268,0.1471
16510,3.569642147,0.1651
18310,3.633911154,0.1831
20110,3.722449305,0.2011
21910,3.78602628,0.2191
23710,3.842721246,0.2371
25510,3.930748329,0.2551
27310,4.026637134,0.2731
29110,4.126727819,0.2911
30910,4.235214695,0.3091
32710,4.34558643,0.3271
34510,4.462054232,0.3451
36310,4.576315712,0.3631
38170,4.728767332,0.3817
39970,4.859353857,0.3997
41770,4.995338245,0.4177
43570,5.133836188,0.4357
45370,5.307779786,0.4537
47170,5.479190262,0.4717
48970,5.636253476,0.4897
50770,5.819635104,0.5077
52570,6.003541752,0.5257
54370,6.241882764,0.5437
56170,6.472100621,0.5617
57970,6.70607528,0.5797
59770,6.906243614,0.5977
61570,7.152421486,0.6157
62170,7.264115888,0.6217
62770,7.343769837,0.6277
63370,7.479132477,0.6337
63970,7.584228791,0.6397
64570,7.66820842,0.6457
65170,7.809548156,0.6517
65770,7.909512431,0.6577
66370,8.022729216,0.6637
66970,8.105743781,0.6697
67570,8.227129112,0.6757
68170,8.351844533,0.6817
68770,8.460659678,0.6877
69370,8.633247554,0.6937
69970,8.900937717,0.6997
70570,9.11767918,0.7057
71170,9.280814734,0.7117
71770,9.452804742,0.7177
72370,9.78423403,0.7237
72970,10.07028166,0.7297
73570,10.78950093,0.7357
74170,12.00149383,0.7417
74770,19.78437827,0.7477